Conf,R,S1,S2,T1,T2,G,Home,Winner,WOELO,WNELO,LOELO,LNELO,SIMSW,SIMSL,D,
Eastern,1,1,8,BOS,CHI,1,BOS,BOS,1498.45,1507.94,1404.48,1394.99,34,30,904,
Eastern,1,1,8,BOS,CHI,2,BOS,BOS,1507.94,1516.73,1394.99,1386.2,34,30,257,
Eastern,1,1,8,BOS,CHI,3,CHI,BOS,1516.73,1527.91,1386.2,1375.02,46,18,293,
Eastern,1,1,8,BOS,CHI,4,CHI,BOS,1527.91,1538.2,1375.02,1364.73,46,18,246,
Eastern,1,2,7,CLE,IND,1,CLE,IND,1415.04,1432.57,1434.06,1416.53,33,31,407,
Eastern,1,2,7,CLE,IND,2,CLE,IND,1432.57,1448.6,1416.53,1400.5,41,23,448,
Eastern,1,2,7,CLE,IND,3,IND,CLE,1400.5,1419.22,1448.6,1429.88,36,28,454,
Eastern,1,2,7,CLE,IND,4,IND,CLE,1419.22,1436.4,1429.88,1412.7,40,24,425,
Eastern,1,2,7,CLE,IND,5,CLE,IND,1412.7,1430.42,1436.4,1418.68,34,30,1855,
Eastern,1,2,7,CLE,IND,6,IND,CLE,1418.68,1435.89,1430.42,1413.21,35,29,445,
Eastern,1,2,7,CLE,IND,7,CLE,IND,1413.21,1430.88,1435.89,1418.22,36,28,462,
Eastern,1,3,6,TOR,MIL,1,TOR,MIL,1426.96,1446.02,1483.45,1464.39,38,26,175,
Eastern,1,3,6,TOR,MIL,2,TOR,MIL,1446.02,1463.52,1464.39,1446.89,36,28,189,
Eastern,1,3,6,TOR,MIL,3,MIL,TOR,1446.89,1464.32,1463.52,1446.09,35,29,177,
Eastern,1,3,6,TOR,MIL,4,MIL,TOR,1464.32,1480.26,1446.09,1430.15,41,23,192,
Eastern,1,3,6,TOR,MIL,5,TOR,MIL,1430.15,1448.96,1480.26,1461.45,33,31,176,
Eastern,1,3,6,TOR,MIL,6,MIL,TOR,1461.45,1477.64,1448.96,1432.77,32,32,257,
Eastern,1,3,6,TOR,MIL,7,TOR,MIL,1432.77,1451.37,1477.64,1459.04,37,27,171,
Eastern,1,4,5,WAS,ATL,1,WAS,ATL,1395.96,1415.97,1476.55,1456.55,32,32,285,
Eastern,1,4,5,WAS,ATL,2,WAS,ATL,1415.97,1434.39,1456.55,1438.13,35,29,199,
Eastern,1,4,5,WAS,ATL,3,ATL,WAS,1438.13,1454.69,1434.39,1417.83,43,21,185,
Eastern,1,4,5,WAS,ATL,4,ATL,WAS,1454.69,1469.82,1417.83,1402.69,40,24,263,
Eastern,1,4,5,WAS,ATL,5,WAS,ATL,1402.69,1422.18,1469.82,1450.34,38,26,191,
Eastern,1,4,5,WAS,ATL,6,ATL,WAS,1450.34,1465.85,1422.18,1406.67,37,27,179,
Eastern,1,4,5,WAS,ATL,7,WAS,ATL,1406.67,1425.84,1465.85,1446.68,38,26,203,
Eastern,2,1,5,BOS,ATL,1,BOS,BOS,1538.2,1547.01,1425.84,1417.02,40,24,166,
Eastern,2,1,5,BOS,ATL,2,BOS,BOS,1547.01,1555.21,1417.02,1408.83,41,23,171,
Eastern,2,1,5,BOS,ATL,3,ATL,BOS,1555.21,1565.75,1408.83,1398.28,48,16,184,
Eastern,2,1,5,BOS,ATL,4,ATL,BOS,1565.75,1575.48,1398.28,1388.55,49,15,173,
Eastern,2,6,7,MIL,IND,1,MIL,MIL,1451.37,1463.78,1430.88,1418.47,39,25,179,
Eastern,2,6,7,MIL,IND,2,MIL,MIL,1463.78,1475.17,1418.47,1407.08,40,24,189,
Eastern,2,6,7,MIL,IND,3,IND,MIL,1475.17,1488.96,1407.08,1393.29,38,26,241,
Eastern,2,6,7,MIL,IND,4,IND,MIL,1488.96,1501.58,1393.29,1380.67,43,21,282,
Eastern,3,1,6,BOS,MIL,1,BOS,MIL,1501.58,1521.33,1575.48,1555.74,34,30,174,
Eastern,3,1,6,BOS,MIL,2,BOS,BOS,1555.74,1567.57,1521.33,1509.49,36,28,203,
Eastern,3,1,6,BOS,MIL,3,MIL,BOS,1567.57,1581.79,1509.49,1495.27,40,24,248,
Eastern,3,1,6,BOS,MIL,4,MIL,BOS,1581.79,1594.79,1495.27,1482.27,43,21,266,
Eastern,3,1,6,BOS,MIL,5,BOS,BOS,1594.79,1603.6,1482.27,1473.46,36,28,167,
Western,1,1,8,GSW,POR,1,GSW,GSW,1618.04,1624.67,1439.09,1432.46,41,23,325,
Western,1,1,8,GSW,POR,2,GSW,GSW,1624.67,1630.91,1432.46,1426.22,47,17,456,
Western,1,1,8,GSW,POR,3,POR,GSW,1630.91,1639.29,1426.22,1417.84,46,18,908,
Western,1,1,8,GSW,POR,4,POR,GSW,1639.29,1647.1,1417.84,1410.03,50,14,490,
Western,1,2,7,SAS,MEM,1,SAS,SAS,1534.73,1542.08,1379.11,1371.76,37,27,433,
Western,1,2,7,SAS,MEM,2,SAS,SAS,1542.08,1548.96,1371.76,1364.87,38,26,482,
Western,1,2,7,SAS,MEM,3,MEM,SAS,1548.96,1558.08,1364.87,1355.76,51,13,443,
Western,1,2,7,SAS,MEM,4,MEM,SAS,1558.08,1566.54,1355.76,1347.3,48,16,636,
Western,1,3,6,HOU,OKC,1,HOU,OKC,1452.72,1471.14,1493.51,1475.08,35,29,185,
Western,1,3,6,HOU,OKC,2,HOU,OKC,1471.14,1488.03,1475.08,1458.2,36,28,196,
Western,1,3,6,HOU,OKC,3,OKC,HOU,1458.2,1476.17,1488.03,1470.06,36,28,180,
Western,1,3,6,HOU,OKC,4,OKC,HOU,1476.17,1492.63,1470.06,1453.6,39,25,179,
Western,1,3,6,HOU,OKC,5,HOU,OKC,1453.6,1471.95,1492.63,1474.28,36,28,190,
Western,1,3,6,HOU,OKC,6,OKC,HOU,1474.28,1490.9,1471.95,1455.33,35,29,178,
Western,1,3,6,HOU,OKC,7,HOU,OKC,1455.33,1473.54,1490.9,1472.68,35,29,314,
Western,1,4,5,LAC,UTA,1,LAC,UTA,1500.66,1516.74,1485.69,1469.61,42,22,178,
Western,1,4,5,LAC,UTA,2,LAC,UTA,1516.74,1531.43,1469.61,1454.92,38,26,164,
Western,1,4,5,LAC,UTA,3,UTA,LAC,1454.92,1474.77,1531.43,1511.58,34,30,275,
Western,1,4,5,LAC,UTA,4,UTA,LAC,1474.77,1493.03,1511.58,1493.32,36,28,233,
Western,1,4,5,LAC,UTA,5,LAC,UTA,1493.32,1510.03,1493.03,1476.32,37,27,167,
Western,1,4,5,LAC,UTA,6,UTA,UTA,1510.03,1521.89,1476.32,1464.46,34,30,170,
Western,2,1,5,GSW,UTA,1,GSW,GSW,1647.1,1655.46,1521.89,1513.53,39,25,191,
